S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
348,2013-11-21,,Tehsil Tal's main Tal bazaar,Hungu,KPK,4,0,0,2,2,4,4,6,8,6,8,0,Tal police official Sher Zaman said six people were killed in the attack includes Kaleemullah- Abdul Rehman- Mufti Hamidullah Haqqani- Maulvi Ahmed Jan- Abdullah and Gul Marjan,com,71.06,33.53,16
349,2013-11-28,,Chashma area of Miranshah,North Waziristan,FATA,2,0,3,0,0,0,0,3,3,8,8,0,Strike comes on the eve of Pakistan Army’s change of command ceremony where Chief of Army Staff General Ashfaq Parvez Kayani will hand the baton to his successor General Raheel Sharif,com,70.1455,32.9746,11
350,2013-12-14,,Mach Magai area of Loe Suleman,Khyber Agency,FATA,1,0,0,6,6,0,0,0,6,2,4,0,This is the first drone strike in Loe Suleman area of Khyber agency,nation,71.1481,34.0983,17
351,2013-12-25,2:00:00,Qutub Khel village- 5km  east of miranshah,North Waziristan,FATA,2,0,0,3,4,0,0,3,4,0,1,0,No comments,dawn,70.1455,32.9746,4
352,2014-06-11,2:30:00,Dargah Mandi village 10 kilometres (six miles) west of the main town of Miramshah ,North Waziristan,FATA,8,0,16,0,0,4,6,16,16,4,4,0,No comments,dawn,70.1455,32.9746,29
353,2014-06-18,5:30:00,Dargah Mandi village 10 kilometres (six miles) west of the main town of Miramshah ,North Waziristan,FATA,6,0,0,6,6,0,0,6,6,0,0,0,No comments,com,70.1455,32.9746,29
354,2014-07-10,5:00:00,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,2,0,6,0,0,0,0,6,6,0,0,0,Foreign Office- Pakistan spokesperson Tasneem Aslam said there is no confirmation on the fresh drone attack. Media outlets have reported a drone strike.,dawn,70.1455,32.9746,30
355,2014-07-16,,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,4,0,20,0,0,0,0,18,20,0,5,0,No comments,dawn,70.1455,32.9746,30
356,2014-07-19,23:45:00,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,1,0,15,0,0,5,5,8,15,0,0,0,No comments,dawn,70.1455,32.9746,28
357,2014-08-06,,Datta Khel is about 50 kilometers (30 miles) west of Miran Shah,North Waziristan,FATA,1,0,0,0,0,5,6,5,6,2,2,0,No comments,dawn,70.1455,32.9746,30
358,2014-09-24,4:45:00,Lorha Mandi area of Datta Khel tehsil- 65 kilometres west of Miramshah,North Waziristan,FATA,4,0,10,0,0,2,2,10,10,2,2,0,No comments,com,70.1455,32.9746,28
359,2014-09-28,12:00:00,Karikot Karezai Pal- Wana,South Waziristan,FATA,1,0,4,0,0,2,2,4,4,0,0,0,No comments,dailytimes,69.9,33.0333,26
360,2014-10-05,17:50:00,Kand Ghar area of Shawal district,South Waziristan,FATA,4,0,5,0,0,1,1,5,5,2,2,0,No comments,com,69.9,33.0333,26
361,2014-10-06,17:45:00,Bari Mail area of Shawal district,South Waziristan,FATA,1,0,8,0,0,0,0,8,8,6,8,0,No comments,dawn,69.9,33.0333,25
362,2014-10-07,,Kandghar area of Shawal,North Waziristan,FATA,2,0,7,0,0,0,0,6,7,5,11,0,No comments,tv,70.1455,32.9746,24
365,2014-10-09,,Loman area of Dattakhel Tehsil,North Waziristan,FATA,1,0,0,3,3,0,0,3,4,2,2,0,No comments,dawn,70.1455,32.9746,21
366,2014-10-30,,Nargas- a village some 30 kilometres west of Wana- the main town in the South Waziristan agency ,South Waziristan,FATA,1,0,7,0,0,1,4,4,7,0,0,0,No comments,geo,69.9,33.0333,16
367,2014-11-11,,Doa Toi area of Datakhel tehsil in North Waziristan Agency,North Waziristan,FATA,1,0,6,0,0,0,0,4,6,0,2,0,No comments,dawn,70.1455,32.9746,14
368,2014-11-20,,Dattakhel,North Waziristan,FATA,2,,6,0,-6,,,,5,,3,1,No comments,dawn,70.1455,32.9746,13
369,2014-11-21,,N/A,North Waziristan,FATA,1,,5,0,-5,,,,9,,,0,No comments,lse,70.1455,32.9746,13
370,2014-11-26,,Kundghar,North Waziristan,FATA,2,,4,0,-4,,,,6,,,0,No comments,dawn,70.1455,32.9746,14
371,2014-12-03,,Dattakhel,North Waziristan,FATA,1,,3,0,3,,,6,9,,,0,No comments,dawn,70.1455,32.9746,13
372,2014-12-07,6:00:00,Kher Tangi,North Waziristan,FATA,1,,,0,0,,,,18,,,0,No comments,dawn,70.1455,32.9746,12
373,2014-12-20,,Dattakhel,North Waziristan,FATA,2,,,0,0,,,,6,,2,0,No comments,dawn,70.1455,32.9746,10
374,2014-12-26,,Dattakhel,North Waziristan,FATA,1,,,0,0,,,,6,,,0,No comments,dawn,70.1455,32.9746,13
376,2015-01-03,,Shawal valley ,North Waziristan,FATA,1,,,,,,,,8,,2,0,No comments,dawn,70.1455,32.9746,8
377,2015-01-15,,Acha Dara area ,North Waziristan,FATA,1,,6,,,,,,6,,,,No comments,dawn,70.1455,32.9746,9
379,2015-01-19,,Shawal Valley,North Waziristan,FATA,2,,,,,,7,,6,,4,,No comments,dawn,70.1455,32.9746,10
380,2015-01-28,,Shawal Valley,North Waziristan,FATA,2,,,7,,,,,7,,4,,No comments,dawn,70.1455,32.9746,5
381,2015-03-24,,Nazyan district of Afghanistan's Nangarhar province,Khyber Agency,FATA,2,,9,,,,,,9,,,0,No comments,dawn,71.1481,34.0983,20
382,2015-03-18,,Shabak Kurram tribal agency-adjacent to North Waziristan,North Waziristan,FATA,1,,3,,,,,2,3,,,0,No comments,dawn,70.1455,32.9746,13
383,2015-04-12,,Shawwal ,North Waziristan,FATA,2,4,,,,,,,4,,,0,No comments,express,70.1455,32.9746,19
384,2015-05-16,,Warokey Mandi area Shawal district,North Waziristan,FATA,2,,,,,1,,5,6,,2,0,No comments,dawn,70.1455,32.9746,26
385,2015-05-18,,Zoey Narey Shawal Valley ,North Waziristan,FATA,2,,,,,,,,6,,2,0,No comments,dawn,70.1455,32.9746,26
387,2015-05-21,, Datta Khel- Shawal Valley ,North Waziristan,FATA,1,,,,,,,15,16,,,0,No comments,com,70.1455,32.9746,27
388,2015-06-01,,Shawal area,North Waziristan,FATA,2,,,,,,,,4,,,0,No comments,geo,70.1455,32.9746,26
389,2015-06-06,,Shawal Valley,North Waziristan,FATA,1,,9,,,,,8,9,,,0,No comments,presstv,70.1455,32.9746,27
390,2015-08-06,,Datta Khel ,North Waziristan,FATA,1,,5,,,,,,5,,,0,No comments,presstv,32.905167,69.748798,16
391,2015-09-01,,Shawal Valley/Datta Khel(Karwanda /Lawra Mandi area),North Waziristan,FATA,1,,,,,,,,5,,3,0,No comments,ndtv,32.844444,69.830556,8
392,2015-09-07,,Shawal Valley,North Waziristan,FATA,1,,,,,,,,3,,,0,Pakistani-made 'Burraq' drone kills three terrorists in Shawal,com,32.844444,69.830556,7
393,2015-09-18,,Shonkrai Narai area,North Waziristan,FATA,2,,,6,7,,,6,7,6,,0, the strike was launched at a vehicle close to a militants' hideout in Shonkrai Narai area of South Waziristan. a semi-autonomous tribal area along Pakistan- Afghanistan border.,com,32.320237,69.859741,8
395,2016-01-09,,Mangroti area,North Waziristan,FATA,1,,,,,,,0,5,,,0,No comments,dailykashmirimages,32.320237,69.859741,-7
396,2016-01-22,,Kurram agency,North Waziristan,FATA,4,,,,,,,,3,1,1,0,No comments,tv,33.695975,70.336069,-14
397,2016-05-21,15:45:00,Kuchaki,Dalbandin,Balochistan,1,0,1,1,1,0,0,2,2,0,0,0,"In Pakistan's Balochistan province targeted and killed Taliban leader Mullah Akhtar Monsour on Saturday, May 21, 2016 as he was traveling from Iran to Quetta,  in a vehicle with his driver along Route N-40.",theguardian,28.896179,64.399215,9
398,2017-03-02,16:00:00,"Sara Khwa, Kurram agency",North Waziristan,FATA,1,0,2,0,0,0,0,2,2,0,0,0,No comments,thenews,32.293811,70.105,23
400,2017-04-26,12:30:00,Lawara Mandi area,North Waziristan,FATA,2,,7,3,3,,,10,10,,,,No comments,geo,33.145357,70.029226,29
401,2017-05-24,12:00:00,"Garvik area, Shawal Tehsil",North Waziristan,FATA,1,,,,,0,0,3,3,0,0,0,killing two TTP militants and a key commander Abdullah Kashmiri.,thenews,32.7061861,69.4157815,26
402,2017-06-12,21:00:00,Spin Thal,Hangu,KPK,1,,,0,0,0,0,2,2,0,0,0,Thal city falls in Hangu district and lies close to the border with FATA. It is also very close to Spin Thal. ,dawn,33.358693,70.54072,
403,2017-07-03,,,South Waziristan,FATA,2,,,0,0,0,0,4,4,0,0,0,No comments,dawn,32.120819,69.589987,23
404,2017-09-15,,Ghuz Ghari,Kurram Agency,FATA,2,,,0,0,0,0,3,3,2,2,0,No comments,dawn,33.732174,70.150755,
405,2017-10-16,,Zero-point,Lower Kurram Agency,FATA,4,,5,,,0,0,17,26,,,0,"Conflict of Report: Foreign media reported that the target of the strike was Abu Bakar, a Haqqani network commander; One of the dead was identified by local officials as militant commander Sangeen Wali Shah.",thesundaily,,,
