S_No,Date,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians_Min,Civilians_Max,Foreigners_Min,Foreigners_Max,Total_Died_Min,Total_Died_Max,Injured_Min,Injured_Max,Women_Children,Comments,Source_Name,Longitude,Latitude,Temperature_C
220,2011-03-08,12:00:00,Landi Dag area- 7 km south of Wana bazaar,South Waziristan,FATA,1,,,0,5,,,,5,,2,0,killed were militants,,69.9,33.0333,5
222,2011-03-11,,Khaisor town- 30km north of Miranshah,North Waziristan,FATA,1,,,0,3,,,,3,,,0,militants were in the vehicle,com,70.1455,32.9746,10
224,2011-03-13,,Esha check post- spalga village- 15km northwest of Miranshah,North Waziristan,FATA,1,,,4,6,,,4,6,,5,0,No comments,,70.1455,32.9746,14
226,2011-03-14,7:30:00,Tappi village- miranshah razmak road,North Waziristan,FATA,1,,,3,5,,,3,5,0,0,0,No comments,,70.1455,32.9746,16
227,2011-03-16,,Amboor shega area in Dattakhel tehsil,North Waziristan,FATA,1,,,5,6,,,5,6,,0,0,No comments,,70.1455,32.9746,16
228,2011-03-17,,Nevi Adda Shega area,North Waziristan,FATA,1,,,40,41,,,40,41,8,15,1,Malik's and Taliban were among dead. Taliban's senior commander Sharabat was leading the jirga,,70.1455,32.9746,16
229,2011-04-13,,near Angoor adda,South Waziristan,FATA,1,6,,1,6,,,6,7,2,4,0,Only a day after a four hour meeting between the heads of ISI and the central intellegence agency of the US held to reset strained ties between the two agencies,,69.9,33.0333,15
230,2011-04-22,5:45:00,Spinam- mirali tall road- Hassan khel area,North Waziristan,FATA,1,,,23,25,,,23,25,5,8,1,No comments,,70.1455,32.9746,18
231,2011-05-06,,Data khel tehsil- Dowatoui area,North Waziristan,FATA,1,,,13,18,,,13,18,,4,0,it was the first drone attack since US NAVY  SEAL's killed Al Qaeda chief Usama Bin Ladin. The drone attack occurred hours after the strong worded ISPR statement warned the US of Dire consequences in case Pakistan's sovereignty os violated again. ,,70.1455,32.9746,20
232,2011-05-10,,Angoor Adda,South Waziristan,FATA,1,,,2,3,,3,3,5,,7,0,it was the second attack after the death of Usama Bin Ladin,,69.9,33.0333,22
233,2011-05-12,11:00:00,Paikhel Mazdok area- Dattakhel Tehsil,North Waziristan,FATA,1,,,,8,,,,8,,,0,The attack coincided with US secretary of state Hillary Clinton's designation of Badruddin Haqqani network- as terrorist. ,,70.1455,32.9746,22
234,2011-05-13,,Kharkamar area- 40km west of miramshsh,North Waziristan,FATA,1,,,3,6,,,3,6,,,,No comments,,70.1455,32.9746,21
235,2011-05-16,,Khoshi Torikhel area of Tehsil Mirali,North Waziristan,FATA,1,,,,6,,,,6,,,0,The attacks came three days after the govt had threatened to stop supplies of Nato and Coslition forces in Afghanistan in the event of such strikes taking place in futue,,70.1455,32.9746,25
237,2011-05-20,18:00:00,Sarbr area- Razmak miranshah road- near Esha check post,North Waziristan,FATA,1,,,,6,,,,6,,,0,No comments,,70.1455,32.9746,25
238,2011-05-23,,machikhel area- near Mirali,North Waziristan,FATA,1,,,,7,,,,7,,,0,No comments,,70.1455,32.9746,24
239,2011-06-03,23:45:00,Ghwakhwa area- 10km west of wana,South Waziristan,FATA,1,,,,5,,,,5,,,0,Military launched an operation at this place two years ago.,,69.9,33.0333,21
240,2011-06-06,,Shalam Raghzai 10 km northwest of wana,South Waziristan,FATA,1,,,,,,,7,8,,2,,No comments,dawn,69.9,33.0333,25
243,2011-06-08,,Shwal Tehsil- Zoi narry area,North Waziristan,FATA,1,,,23,24,,,23,24,,,0,Militants of Hafiz gul bahadur group- associated with Haqqani network- was the main target. Local residents described the compound as a major militants training center.,,70.1455,32.9746,27
244,2011-06-15,,Wana,South Waziristan,FATA,1,,,,7,,,,7,,,0,Compound belonged to a group headed by Mulvi Nazir that crosses the afghan border to attack US troops in Afghanistan.,,69.9,33.0333,27
247,2011-06-20,,Khrdand area,Lower Kurram Agency,FATA,1,,,,3,,9,11,12,,8,0,This was the first drone attack carried out outside the north and south waziristan this year. Foreigners died were afghan. And a militant commander from Khost province of Afghanistan was among dead.,,69.9667,33.8167,28
